row_id,tier,source_key,source_citation,source_doi,source_table,source_case_id,origin_refs,origin_citations,paper_split,perveance_uperv,rw_mm,C,theta_cone_deg,theta_ann_panahi_deg,theta_iterative_deg,theta_noniterative_deg,theta_modified_noniter_deg,beam_type,rc_mm,Rc_mm,derived_fields,orig_units,notes
LIT-0014,A_literature,panahi2025,"Panahi R., Feghhi S.A.H., Sanaye Hajari Sh., Khorsandi M., 'Determination of the Half-Beam cone angle for Pierce electron gun design using an artificial neural network', Results in Physics 73 (2025) 108256",10.1016/j.rinp.2025.108256,Table 2,14,[19],"Yang C., Jia B., Zhu Z., 'Improved noniterative method for the synthesis of convergent Pierce electron guns', IEEE Trans. Electron Devices 53(11) (2006) 2849-2852",train,1.34,1.95,26.30,33.96,35.03,31.92,24.27,35.08,pencil,10.0003,17.9020,rc_mm;Rc_mm,P in microperv; rw in mm; C dimensionless; angles in degrees,"iterative column has true modification applied, sin(theta)/sin(theta_T)=0.905"
LIT-0015,A_literature,panahi2025,"Panahi R., Feghhi S.A.H., Sanaye Hajari Sh., Khorsandi M., 'Determination of the Half-Beam cone angle for Pierce electron gun design using an artificial neural network', Results in Physics 73 (2025) 108256",10.1016/j.rinp.2025.108256,Table 2,15,[19],"Yang C., Jia B., Zhu Z., 'Improved noniterative method for the synthesis of convergent Pierce electron guns', IEEE Trans. Electron Devices 53(11) (2006) 2849-2852",test,1.01,2.00,25.00,30.00,29.74,27.25,20.86,30.09,pencil,10.0000,20.0000,rc_mm;Rc_mm,P in microperv; rw in mm; C dimensionless; angles in degrees,"iterative column has true modification applied, sin(theta)/sin(theta_T)=0.905"
LIT-0016,A_literature,panahi2025,"Panahi R., Feghhi S.A.H., Sanaye Hajari Sh., Khorsandi M., 'Determination of the Half-Beam cone angle for Pierce electron gun design using an artificial neural network', Results in Physics 73 (2025) 108256",10.1016/j.rinp.2025.108256,Table 2,16,[19],"Yang C., Jia B., Zhu Z., 'Improved noniterative method for the synthesis of convergent Pierce electron guns', IEEE Trans. Electron Devices 53(11) (2006) 2849-2852",train,1.32,2.93,11.65,30.00,31.30,27.49,20.95,30.22,pencil,10.0007,20.0014,rc_mm;Rc_mm,P in microperv; rw in mm; C dimensionless; angles in degrees,"iterative column has true modification applied, sin(theta)/sin(theta_T)=0.905"
LIT-0017,A_literature,panahi2025,"Panahi R., Feghhi S.A.H., Sanaye Hajari Sh., Khorsandi M., 'Determination of the Half-Beam cone angle for Pierce electron gun design using an artificial neural network', Results in Physics 73 (2025) 108256",10.1016/j.rinp.2025.108256,Table 2,17,[19],"Yang C., Jia B., Zhu Z., 'Improved noniterative method for the synthesis of convergent Pierce electron guns', IEEE Trans. Electron Devices 53(11) (2006) 2849-2852",test,0.74,1.23,66.10,29.04,27.83,26.21,20.32,29.29,pencil,10.0001,20.6010,rc_mm;Rc_mm,P in microperv; rw in mm; C dimensionless; angles in degrees,"iterative column has true modification applied, sin(theta)/sin(theta_T)=0.905"
LIT-0018,A_literature,panahi2025,"Panahi R., Feghhi S.A.H., Sanaye Hajari Sh., Khorsandi M., 'Determination of the Half-Beam cone angle for Pierce electron gun design using an artificial neural network', Results in Physics 73 (2025) 108256",10.1016/j.rinp.2025.108256,Table 2,18,[19],"Yang C., Jia B., Zhu Z., 'Improved noniterative method for the synthesis of convergent Pierce electron guns', IEEE Trans. Electron Devices 53(11) (2006) 2849-2852",train,1.29,4.05,6.10,26.01,26.01,23.28,17.97,25.88,pencil,10.0028,22.8099,rc_mm;Rc_mm,P in microperv; rw in mm; C dimensionless; angles in degrees,"iterative column has true modification applied, sin(theta)/sin(theta_T)=0.905"
LIT-0019,A_literature,panahi2025,"Panahi R., Feghhi S.A.H., Sanaye Hajari Sh., Khorsandi M., 'Determination of the Half-Beam cone angle for Pierce electron gun design using an artificial neural network', Results in Physics 73 (2025) 108256",10.1016/j.rinp.2025.108256,Table 2,19,[19],"Yang C., Jia B., Zhu Z., 'Improved noniterative method for the synthesis of convergent Pierce electron guns', IEEE Trans. Electron Devices 53(11) (2006) 2849-2852",train,1.07,3.71,7.27,26.39,26.39,22.12,17.09,24.60,pencil,10.0032,22.5056,rc_mm;Rc_mm,P in microperv; rw in mm; C dimensionless; angles in degrees,"iterative column has true modification applied, sin(theta)/sin(theta_T)=0.905"
LIT-0020,A_literature,panahi2025,"Panahi R., Feghhi S.A.H., Sanaye Hajari Sh., Khorsandi M., 'Determination of the Half-Beam cone angle for Pierce electron gun design using an artificial neural network', Results in Physics 73 (2025) 108256",10.1016/j.rinp.2025.108256,Table 2,20,[19],"Yang C., Jia B., Zhu Z., 'Improved noniterative method for the synthesis of convergent Pierce electron guns', IEEE Trans. Electron Devices 53(11) (2006) 2849-2852",train,0.79,2.03,24.27,26.01,25.86,23.86,18.34,26.42,pencil,10.0007,22.8052,rc_mm;Rc_mm,P in microperv; rw in mm; C dimensionless; angles in degrees,"iterative column has true modification applied, sin(theta)/sin(theta_T)=0.905"
LIT-0021,A_literature,panahi2025,"Panahi R., Feghhi S.A.H., Sanaye Hajari Sh., Khorsandi M., 'Determination of the Half-Beam cone angle for Pierce electron gun design using an artificial neural network', Results in Physics 73 (2025) 108256",10.1016/j.rinp.2025.108256,Table 2,21,[19],"Yang C., Jia B., Zhu Z., 'Improved noniterative method for the synthesis of convergent Pierce electron guns', IEEE Trans. Electron Devices 53(11) (2006) 2849-2852",train,0.77,1.83,29.86,24.96,26.21,24.26,18.70,26.94,pencil,9.9999,23.6973,rc_mm;Rc_mm,P in microperv; rw in mm; C dimensionless; angles in degrees,"iterative column has true modification applied, sin(theta)/sin(theta_T)=0.905"
LIT-0022,A_literature,panahi2025,"Panahi R., Feghhi S.A.H., Sanaye Hajari Sh., Khorsandi M., 'Determination of the Half-Beam cone angle for Pierce electron gun design using an artificial neural network', Results in Physics 73 (2025) 108256",10.1016/j.rinp.2025.108256,Table 2,22,[19],"Yang C., Jia B., Zhu Z., 'Improved noniterative method for the synthesis of convergent Pierce electron guns', IEEE Trans. Electron Devices 53(11) (2006) 2849-2852",train,0.53,1.82,30.19,22.99,21.76,20.03,15.52,22.32,pencil,10.0001,25.6037,rc_mm;Rc_mm,P in microperv; rw in mm; C dimensionless; angles in degrees,"iterative column has true modification applied, sin(theta)/sin(theta_T)=0.905"
LIT-0023,A_literature,panahi2025,"Panahi R., Feghhi S.A.H., Sanaye Hajari Sh., Khorsandi M., 'Determination of the Half-Beam cone angle for Pierce electron gun design using an artificial neural network', Results in Physics 73 (2025) 108256",10.1016/j.rinp.2025.108256,Table 2,23,[19],"Yang C., Jia B., Zhu Z., 'Improved noniterative method for the synthesis of convergent Pierce electron guns', IEEE Trans. Electron Devices 53(11) (2006) 2849-2852",train,0.32,1.46,46.91,18.45,18.73,16.36,12.80,18.40,pencil,9.9997,31.5968,rc_mm;Rc_mm,P in microperv; rw in mm; C dimensionless; angles in degrees,"iterative column has true modification applied, sin(theta)/sin(theta_T)=0.905"
LIT-0024,A_literature,panahi2025,"Panahi R., Feghhi S.A.H., Sanaye Hajari Sh., Khorsandi M., 'Determination of the Half-Beam cone angle for Pierce electron gun design using an artificial neural network', Results in Physics 73 (2025) 108256",10.1016/j.rinp.2025.108256,Table 2,24,[19],"Yang C., Jia B., Zhu Z., 'Improved noniterative method for the synthesis of convergent Pierce electron guns', IEEE Trans. Electron Devices 53(11) (2006) 2849-2852",train,0.30,2.01,24.75,17.42,17.55,14.57,11.31,16.24,pencil,9.9996,33.4018,rc_mm;Rc_mm,P in microperv; rw in mm; C dimensionless; angles in degrees,"iterative column has true modification applied, sin(theta)/sin(theta_T)=0.905"
LIT-0025,A_literature,panahi2025,"Panahi R., Feghhi S.A.H., Sanaye Hajari Sh., Khorsandi M., 'Determination of the Half-Beam cone angle for Pierce electron gun design using an artificial neural network', Results in Physics 73 (2025) 108256",10.1016/j.rinp.2025.108256,Table 2,25,"[14,18,19]","Frost R., Purl O., Johnson H., 'Electron guns for forming solid beams of high perveance and high convergence', Proc. IRE 50(8) (1962) 1800-1807 | Tiwary U., Basu B., 'Noniterative method for the synthesis of convergent Pierce electron guns', IEEE Trans. Electron Devices 34(5) (1987) 1218-1222 | Yang C., Jia B., Zhu Z., 'Improved noniterative method for the synthesis of convergent Pierce electron guns', IEEE Trans. Electron Devices 53(11) (2006) 2849-2852",train,0.55,0.94,11.41,17.40,16.66,17.42,13.43,19.30,pencil,3.1752,10.6179,rc_mm;Rc_mm,P in microperv; rw in mm; C dimensionless; angles in degrees,"iterative column has true modification applied, sin(theta)/sin(theta_T)=0.905"
LIT-0026,A_literature,panahi2025,"Panahi R., Feghhi S.A.H., Sanaye Hajari Sh., Khorsandi M., 'Determination of the Half-Beam cone angle for Pierce electron gun design using an artificial neural network', Results in Physics 73 (2025) 108256",10.1016/j.rinp.2025.108256,Table 2,26,[19],"Yang C., Jia B., Zhu Z., 'Improved noniterative method for the synthesis of convergent Pierce electron guns', IEEE Trans. Electron Devices 53(11) (2006) 2849-2852",test,0.29,1.46,46.91,17.00,18.12,15.56,12.19,17.51,pencil,9.9997,34.2019,rc_mm;Rc_mm,P in microperv; rw in mm; C dimensionless; angles in degrees,"iterative column has true modification applied, sin(theta)/sin(theta_T)=0.905"
LIT-0027,A_literature,panahi2025,"Panahi R., Feghhi S.A.H., Sanaye Hajari Sh., Khorsandi M., 'Determination of the Half-Beam cone angle for Pierce electron gun design using an artificial neural network', Results in Physics 73 (2025) 108256",10.1016/j.rinp.2025.108256,Table 2,27,[19],"Yang C., Jia B., Zhu Z., 'Improved noniterative method for the synthesis of convergent Pierce electron guns', IEEE Trans. Electron Devices 53(11) (2006) 2849-2852",train,0.79,4.13,5.86,16.41,16.41,17.95,13.89,19.97,pencil,9.9977,35.3889,rc_mm;Rc_mm,P in microperv; rw in mm; C dimensionless; angles in degrees,"iterative column has true modification applied, sin(theta)/sin(theta_T)=0.905"
LIT-0028,A_literature,panahi2025,"Panahi R., Feghhi S.A.H., Sanaye Hajari Sh., Khorsandi M., 'Determination of the Half-Beam cone angle for Pierce electron gun design using an artificial neural network', Results in Physics 73 (2025) 108256",10.1016/j.rinp.2025.108256,Table 2,28,[19],"Yang C., Jia B., Zhu Z., 'Improved noniterative method for the synthesis of convergent Pierce electron guns', IEEE Trans. Electron Devices 53(11) (2006) 2849-2852",train,0.33,4.23,5.59,13.02,13.02,11.40,8.84,12.69,pencil,10.0011,44.3917,rc_mm;Rc_mm,P in microperv; rw in mm; C dimensionless; angles in degrees,"iterative column has true modification applied, sin(theta)/sin(theta_T)=0.905"
LIT-0029,A_literature,panahi2025,"Panahi R., Feghhi S.A.H., Sanaye Hajari Sh., Khorsandi M., 'Determination of the Half-Beam cone angle for Pierce electron gun design using an artificial neural network', Results in Physics 73 (2025) 108256",10.1016/j.rinp.2025.108256,Table 2,29,"[14,18,19]","Frost R., Purl O., Johnson H., 'Electron guns for forming solid beams of high perveance and high convergence', Proc. IRE 50(8) (1962) 1800-1807 | Tiwary U., Basu B., 'Noniterative method for the synthesis of convergent Pierce electron guns', IEEE Trans. Electron Devices 34(5) (1987) 1218-1222 | Yang C., Jia B., Zhu Z., 'Improved noniterative method for the synthesis of convergent Pierce electron guns', IEEE Trans. Electron Devices 53(11) (2006) 2849-2852",test,0.40,0.84,10.61,12.70,12.40,14.59,11.29,16.21,pencil,2.7361,12.4457,rc_mm;Rc_mm,P in microperv; rw in mm; C dimensionless; angles in degrees,"iterative column has true modification applied, sin(theta)/sin(theta_T)=0.905"
LIT-0030,A_literature,panahi2025,"Panahi R., Feghhi S.A.H., Sanaye Hajari Sh., Khorsandi M., 'Determination of the Half-Beam cone angle for Pierce electron gun design using an artificial neural network', Results in Physics 73 (2025) 108256",10.1016/j.rinp.2025.108256,Table 2,30,[19],"Yang C., Jia B., Zhu Z., 'Improved noniterative method for the synthesis of convergent Pierce electron guns', IEEE Trans. Electron Devices 53(11) (2006) 2849-2852",train,0.38,0.77,9.31,9.80,10.26,13.84,10.72,15.40,pencil,2.3494,13.8033,rc_mm;Rc_mm,P in microperv; rw in mm; C dimensionless; angles in degrees,"iterative column has true modification applied, sin(theta)/sin(theta_T)=0.905"
